location_name,longitude,latitude,acres,year,species_name,stagename,numberstocked
WILLARD RESERVOIR,-82.665177,41.057248,199,2003,Walleye,Fingerlings,19597
INDIAN LAKE,-83.875493,40.467488,5036,2003,Saugeye,Fingerlings,298763
LAKE LORAMIE,-84.362362,40.363606,869,2003,Saugeye,Fingerlings,80568
CAESAR CREEK LAKE,-84.061277,39.484992,2806,2003,Saugeye,Fingerlings,523692
INDIAN LAKE,-83.875493,40.467488,5036,2003,Saugeye,Fingerlings,23126
GRAND LAKE ST. MARYS,-84.574374,40.534790,12896,2003,Walleye,Fingerlings,82032
GRAND LAKE ST. MARYS,-84.574374,40.534790,12896,2003,Walleye,Fingerlings,147232
GRAND LAKE ST. MARYS,-84.574374,40.534790,12896,2003,Walleye,Fingerlings,136086
GRAND LAKE ST. MARYS,-84.574374,40.534790,12896,2003,Walleye,Fingerlings,54919
CHARLES MILL RESERVOIR,-82.365997,40.740854,1347,2003,Saugeye,Fingerlings,67848
PLEASANT HILL LAKE,-82.324884,40.622857,783,2003,Saugeye,Fingerlings,158826
LAKE LORAMIE,-84.362362,40.363606,869,2003,Saugeye,Fingerlings,106398
INDIAN LAKE,-83.875493,40.467488,5036,2003,Saugeye,Fingerlings,185040
ALUM CREEK LAKE,-82.963793,40.184249,3331,2003,Saugeye,Fingerlings,454119
C.J. BROWN RESERVOIR,-83.747149,39.950608,1964,2003,Walleye,Fingerlings,284787
GRAND LAKE ST. MARYS,-84.574374,40.534790,12896,2003,Walleye,Fingerlings,343539
FINDLAY RESERVOIR #2,-83.571596,41.010014,644,2003,Walleye,Fingerlings,32292
GRAND LAKE ST. MARYS,-84.574374,40.534790,12896,2003,Walleye,Fingerlings,55961
FINDLAY RESERVOIR #2,-83.571596,41.010014,644,2003,Yellow Perch,Fingerlings,32883
LAKE LORAMIE,-84.362362,40.363606,869,2003,Saugeye,Fingerlings,51128
INDIAN LAKE,-83.875493,40.467488,5036,2003,Saugeye,Fingerlings,62748
WASHINGTON COURT HOUSE UPGROUND,-83.459111,39.551870,36,2003,Yellow Perch,Fingerlings,24780
FINDLAY RESERVOIR #2,-83.571596,41.010014,644,2003,Yellow Perch,Fingerlings,288078
NORTH BALTIMORE RESERVOIR #2,-83.664503,41.172587,44,2003,Yellow Perch,Fingerlings,30090
CAESAR CREEK LAKE,-84.061277,39.484992,2806,1998,Saugeye,Fingerlings,349114
WILLARD RESERVOIR,-82.665177,41.057248,199,2003,Yellow Perch,Fingerlings,106232
PAINT CREEK LAKE,-83.354080,39.250837,1177,2003,Saugeye,Fingerlings,169309
ALUM CREEK LAKE,-82.963793,40.184249,3331,2003,Saugeye,Fingerlings,223024
PAINT CREEK LAKE,-83.354080,39.250837,1177,2003,Saugeye,Fingerlings,63600
ATWOOD LAKE,-81.285772,40.526523,1563,2003,Saugeye,Fingerlings,51728
PIEDMONT LAKE,-81.213162,40.190368,2370,2003,Saugeye,Fingerlings,89040
PLEASANT HILL LAKE,-82.324884,40.622857,783,2003,Saugeye,Fingerlings,8904
SHELBY RESERVOIR #3,-82.652779,40.909478,51,2003,Yellow Perch,Fingerlings,25499
UPPER SANDUSKY RESERVOIR #2,-83.258701,40.817989,118,2003,Yellow Perch,Fingerlings,19569
UPPER SANDUSKY RESERVOIR #2,-83.258701,40.817989,118,2003,Yellow Perch,Fingerlings,15620
NEW LONDON RESERVOIR,-82.419436,41.066138,212,2003,Yellow Perch,Fingerlings,54280
EAST HARBOR STATE PARK POND,NULL,NULL,2,2003,Channel Catfish,Catchable,468
INDIAN CREEK WA PONDS,NULL,NULL,N/A,2003,Channel Catfish,Catchable,415
GRAND LAKE ST. MARYS,-84.574374,40.534790,12896,2003,Channel Catfish,Catchable,45
NORTH BALTIMORE RESERVOIR #2,-83.664503,41.172587,44,2003,Largemouth Bass,Fingerlings,394
WOODBURY WA PONDS,NULL,NULL,N/A,2003,Largemouth Bass,Fingerlings,1998
TRIVALLEY WA PONDS,NULL,NULL,N/A,2003,Largemouth Bass,Fingerlings,1000
AEP RECREATION LAND,NULL,NULL,N/A,2003,Largemouth Bass,Fingerlings,8200
EGYPT VALLEY WA PONDS,NULL,NULL,N/A,2003,Largemouth Bass,Fingerlings,2000
JOCKEY HOLLOW WA PONDS,NULL,NULL,N/A,2003,Largemouth Bass,Fingerlings,2000
COOPER HOLLOW WA PONDS,NULL,NULL,N/A,2003,Largemouth Bass,Fingerlings,200
BELLEVUE RESERVOIR #5,-82.776295,41.211745,85,2003,Channel Catfish,Yearling,2125
RESTHAVEN POND #08,-82.830743,41.394242,122,2003,Channel Catfish,Yearling,3015
AEP AVONDALE COAL LANDS,NULL,NULL,N/A,2003,Largemouth Bass,Fingerlings,2002
WOLF CREEK  WILDLIFE AREA,NULL,NULL,N/A,2003,Largemouth Bass,Fingerlings,500
PAULDING RESERVOIR,-84.591437,41.124255,67,2003,Channel Catfish,Yearling,1651
VAN WERT RESERVOIR #1,-84.579849,40.849321,61,2003,Channel Catfish,Yearling,1521
VAN WERT RESERVOIR #2 OLD (pre 2007),-84.575654,40.844017,61,2003,Channel Catfish,Yearling,1515
LAKE LORAMIE,-84.362362,40.363606,869,2003,Channel Catfish,Catchable,413
RACCOON CREEK RESERVOIR,-82.976303,41.287540,36,2003,Channel Catfish,Yearling,855
ALDRICH POND,-83.253565,41.447729,34,2003,Channel Catfish,Yearling,855
BEAVER CREEK RESERVOIR,-83.020030,41.241359,110,2003,Channel Catfish,Yearling,1232
NORTH BALTIMORE RESERVOIR #2,-83.664503,41.172587,44,2003,Largemouth Bass,Fingerlings,4929
KILLDEER POND #33,NULL,NULL,17,2004,Bluegill,Fingerlings,10513
KILLDEER POND #33,NULL,NULL,17,2004,Largemouth Bass,Fingerlings,2034
VESUVIUS LAKE,-82.630439,38.606473,106,2004,Largemouth Bass,Fingerlings,2156
VESUVIUS LAKE,-82.630439,38.606473,106,2004,Bluegill,Fingerlings,41460
GRAND LAKE ST. MARYS,-84.574374,40.534790,12896,2004,Walleye,Fry,522000
MOSQUITO LAKE,-80.758136,41.300057,7204,2004,Walleye,Fry,1467700
MOSQUITO LAKE,-80.758136,41.300057,7204,2004,Walleye,Fry,1561900
MOSQUITO LAKE,-80.758136,41.300057,7204,2004,Walleye,Fry,655847
INDIAN LAKE,-83.875493,40.467488,5036,2004,Saugeye,Fingerlings,82270
AMICK RESERVOIR,-82.822681,40.703148,53,2004,Saugeye,Fingerlings,6495
OUTHWAITE RESERVOIR,-82.935716,40.835628,148,2004,Saugeye,Fingerlings,17320
RILEY RESERVOIR,-82.933241,40.827245,31,2004,Saugeye,Fingerlings,6495
LAKE LECOMTE,-83.447149,41.115821,137,2004,Saugeye,Fingerlings,15155
VETS MEMORIAL RESERVOIR,-83.455482,41.133320,157,2004,Saugeye,Fingerlings,15155
METZGER RESERVOIR,-84.055351,40.741409,157,2004,Saugeye,Fingerlings,18403
